,idtwitter,subj,opos,oneg,iro,lpos,lneg,top,text,spans,rep,Rep Out
10,507082319115874304,1,1,0,0,1,0,2,@matteorenzi ha presentato #LaBuonaScuola Ecco i punti del suo Piano http://t.co/ESpXivUmQR @MiurSocial @SteGiannini #passodopopasso,['@matteorenzi ha presentato #LaBuonaScuola Ecco i punti del suo Piano http://t.co/ESpXivUmQR @MiurSocial @SteGiannini #passodopopasso'],['non risposta'],"tensor([[-1.9268, -0.6610,  1.0311,  0.7592, -0.7107,  0.7904, -0.2572,  1.2656,
         -1.1023,  1.1115,  0.4143, -0.1151, -1.6921,  1.9520, -0.8493, -1.2090,
         -1.1163, -1.6049, -2.3230,  2.8828,  1.9541,  1.4042, -1.0907]])"
11,507082373750861824,1,0,0,0,0,0,2,".@matteorenzi  la #scuola è quello che resta, il cuore di tutto #labuonascuola @MiurSocial http://t.co/vlXyELm42b","['.@matteorenzi  la #scuola è quello che resta, il cuore di tutto #labuonascuola @MiurSocial http://t.co/vlXyELm42b']",['non risposta'],"tensor([[-1.9268, -0.6610,  1.0311,  0.7592, -0.7107,  0.7904, -0.2572,  1.2656,
         -1.1023,  1.1115,  0.4143, -0.1151, -1.6921,  1.9520, -0.8493, -1.2090,
         -1.1163, -1.6049, -2.3230,  2.8828,  1.9541,  1.4042, -1.0907]])"
12,507082901813723136,0,0,0,0,0,0,2,#Renzi presenta le linee guida sulla scuola #labuonascuola - http://t.co/SYS1T9QmQN,['#Renzi presenta le linee guida sulla scuola #labuonascuola - http://t.co/SYS1T9QmQN'],['ridimensionamento'],"tensor([[-1.1793, -0.2982, -0.1765,  0.5912, -0.7510, -0.1218, -0.3854,  1.1962,
         -0.4467,  0.0122, -0.4273, -0.2480, -1.0580,  0.6934, -1.2976, -0.6389,
         -0.0951, -1.5466, -1.2170,  3.3577,  1.2990,  2.7926, -1.2039]])"
13,507083585115787264,1,0,1,1,1,0,2,"Ok @matteorenzi  ho capito torno a fare esami per il debito, torno a lavorare che è meglio! #labuonascuola","['Ok @matteorenzi  ho capito torno a fare esami per il debito, torno a lavorare che è meglio! #labuonascuola']",['non risposta'],"tensor([[-1.9268, -0.6610,  1.0311,  0.7592, -0.7107,  0.7904, -0.2572,  1.2656,
         -1.1023,  1.1115,  0.4143, -0.1151, -1.6921,  1.9520, -0.8493, -1.2090,
         -1.1163, -1.6049, -2.3230,  2.8828,  1.9541,  1.4042, -1.0907]])"
14,507084124491104256,1,1,0,0,1,0,2,"#labuonascuola, il documento del #governo #Renzi http://t.co/VzVwN4oRYE #opencamera #opensenato #italiariparte @SteGiannini @cislscuola","['#labuonascuola, il documento del #governo #Renzi http://t.co/VzVwN4oRYE #opencamera #opensenato #italiariparte @SteGiannini @cislscuola']",['non risposta'],"tensor([[-1.9268, -0.6610,  1.0311,  0.7592, -0.7107,  0.7904, -0.2572,  1.2656,
         -1.1023,  1.1115,  0.4143, -0.1151, -1.6921,  1.9520, -0.8493, -1.2090,
         -1.1163, -1.6049, -2.3230,  2.8828,  1.9541,  1.4042, -1.0907]])"
15,507084285140938752,0,0,0,0,0,0,2,#labuonascuola: ecco il piano di #Renzi - Giornalettismo http://t.co/pzbKLS0Ojn via @giornalettismo,['#labuonascuola: ecco il piano di #Renzi - Giornalettismo http://t.co/pzbKLS0Ojn via @giornalettismo'],['non risposta'],"tensor([[-1.9268, -0.6610,  1.0311,  0.7592, -0.7107,  0.7904, -0.2572,  1.2656,
         -1.1023,  1.1115,  0.4143, -0.1151, -1.6921,  1.9520, -0.8493, -1.2090,
         -1.1163, -1.6049, -2.3230,  2.8828,  1.9541,  1.4042, -1.0907]])"
16,507084562548424704,0,0,0,0,0,0,2,"Ci siamo, #labuonascuola è online. Intanto su http://t.co/mVENbb7ovj o direttamente consultabile su http://t.co/c4LmZw0FiP cc @MiurSocial","['Ci siamo, #labuonascuola è online. Intanto su http://t.co/mVENbb7ovj o direttamente consultabile su http://t.co/c4LmZw0FiP cc @MiurSocial']",['non risposta'],"tensor([[-1.9268, -0.6610,  1.0311,  0.7592, -0.7107,  0.7904, -0.2572,  1.2656,
         -1.1023,  1.1115,  0.4143, -0.1151, -1.6921,  1.9520, -0.8493, -1.2090,
         -1.1163, -1.6049, -2.3230,  2.8828,  1.9541,  1.4042, -1.0907]])"
17,507084997728415744,0,0,0,0,0,0,2,"""Nessuno si senta escluso "" La buona scuola http://t.co/D0sBmjIdiv","['""Nessuno si senta escluso ""', ' La buona scuola http://t.co/D0sBmjIdiv']","['prescrizione', 'non risposta']","tensor([[-1.6205, -0.5976,  0.3677,  0.7629, -0.4712,  0.6718, -0.5906,  1.8247,
         -1.0888,  0.6417, -0.0410, -0.0376, -1.5476,  1.2522, -0.9514, -0.8394,
         -1.0102, -1.4237, -2.1581,  3.2145,  2.0119,  1.7781, -1.0000]])"
18,507085203131867136,0,0,0,0,0,0,2,È online il rapporto del governo #labuonascuola. Si trova a questo link: http://t.co/aU87jBzO5V. #iopartecipo! #openMiur @MiurSocial,['È online il rapporto del governo #labuonascuola. Si trova a questo link: http://t.co/aU87jBzO5V. #iopartecipo! #openMiur @MiurSocial'],['non risposta'],"tensor([[-1.9268, -0.6610,  1.0311,  0.7592, -0.7107,  0.7904, -0.2572,  1.2656,
         -1.1023,  1.1115,  0.4143, -0.1151, -1.6921,  1.9520, -0.8493, -1.2090,
         -1.1163, -1.6049, -2.3230,  2.8828,  1.9541,  1.4042, -1.0907]])"
19,507087174336905216,1,1,0,0,1,0,2,Oggi tiriamo una linea col passato. Percorso di rinnovamento coinvolgerà tutti. #labuonascuola http://t.co/Hw3wlW6RZZ http://t.co/lzq8G7g8EZ,"['Oggi tiriamo una linea col passato.', ' Percorso di rinnovamento coinvolgerà tutti.', ' #labuonascuola http://t.co/Hw3wlW6RZZ http://t.co/lzq8G7g8EZ']","['sancire', 'previsione', 'non risposta']","tensor([[-1.3608, -0.2870,  0.1326,  1.6873, -0.1456, -0.0517, -1.1081,  1.2031,
         -1.1399,  0.2675,  0.0365,  0.4719, -1.3207,  1.0608, -0.4682, -1.2548,
         -1.3223, -1.6261, -2.3720,  1.8687,  1.4931,  3.0155, -0.7874]])"
20,507087791638188032,0,0,0,0,0,0,2,@matteorenzi riforma scuola:ruolo test Invalsi?Perché non rendere obbligatorio pubblicarli?Famiglie devono poter scegliere in modo informato,"['@matteorenzi riforma scuola:ruolo test Invalsi?Perché non rendere obbligatorio pubblicarli?Famiglie', ' devono poter scegliere in modo informato']","['deresponsabilizzazione', 'prescrizione']","tensor([[-2.1363, -0.0978,  1.2337,  0.2714, -1.2871,  0.5748,  0.1117, -0.0718,
         -1.0338,  1.2731,  1.2873, -0.2128, -1.1783,  1.6693, -0.3620, -1.8584,
         -0.1106, -1.2750, -2.2385,  2.3060,  2.2368,  0.8503, -1.0513]])"
21,507088717572767744,0,0,0,0,0,0,2,L'Italia cambierà solo se noi metteremo al centro la scuola #labuonascuola #passodopopasso @matteorenzi @pdnetwork  http://t.co/lfYCl5uKpz,"[""L'Italia cambierà solo se noi metteremo al centro la scuola #labuonascuola #passodopopasso @matteorenzi @pdnetwork  http://t.co/lfYCl5uKpz""]",['previsione'],"tensor([[-0.8173, -0.8612, -0.1672,  1.1911, -0.2972,  0.1734, -0.5881,  1.2618,
         -0.7316,  0.1103, -0.2382, -0.3652, -1.4430,  0.8136, -1.7604, -0.4757,
         -1.0020, -1.3698, -1.3212,  3.4610,  0.5684,  3.6701, -0.9657]])"
22,507089154443075584,1,1,1,0,1,1,2,"Le parole giuste ci sono, vedremo la traduzione in fatti...“@matteorenzi: Ecco i nostri 12 punti per #labuonascuola. http://t.co/bPtgWcUWeE”","['Le parole giuste ci sono, vedremo la traduzione in fatti...', '“@matteorenzi: Ecco i nostri 12 punti per #labuonascuola. http://t.co/bPtgWcUWeE”']","['previsione', 'non risposta']","tensor([[-1.6418, -0.7275,  0.5324,  1.3176, -0.2605,  0.5883, -0.9318,  1.7345,
         -1.3286,  0.5988,  0.2092,  0.1068, -1.7508,  1.4172, -0.7442, -1.1653,
         -1.5389, -1.5588, -2.3538,  2.6174,  1.8978,  2.3555, -0.6811]])"
23,507089241382588416,0,0,0,0,0,0,2,"Ecco il piano per la scuola: ""150mila precari assunti in un solo anno"" @MiurSocial #labuonascuola http://t.co/sTyABaDyKG","['Ecco il piano per la scuola: ""150mila precari assunti in un solo anno"" @MiurSocial #labuonascuola http://t.co/sTyABaDyKG']",['sancire'],"tensor([[-0.8943, -1.0592, -0.1099,  0.8642, -0.6931, -0.0558, -0.0165,  0.9286,
          0.1337,  0.1555, -0.7140, -0.1405, -1.1749,  0.7142, -1.5927, -0.4359,
         -0.0557, -0.9267, -1.1418,  2.8482,  1.2131,  2.8977, -1.4626]])"
24,507091579228930048,0,0,0,0,0,0,2,#labuonascuola Come un docente potrà dimostrare quanto vale? @MiurSocial http://t.co/sTyABaDyKG http://t.co/EQ2iCHrcbk,['#labuonascuola Come un docente potrà dimostrare quanto vale? @MiurSocial http://t.co/sTyABaDyKG http://t.co/EQ2iCHrcbk'],['commento'],"tensor([[-0.9198, -0.7834,  0.0657,  1.2247, -0.3497, -0.3632, -0.6118,  2.1117,
         -0.2924,  0.2796, -0.5667, -0.1916, -1.2353,  1.1343, -1.5646, -1.0783,
         -0.7299, -1.1523, -1.7300,  2.0984,  0.8691,  3.7473, -1.1935]])"
25,507093537608175616,1,1,0,0,1,0,2,"#labuonascuola è un progetto ambizioso,chiaro,long-term; x la 1° volta dopo tanto tempo si considera l'#Istruzione il cuore dello #sviluppo","['#labuonascuola è un progetto ambizioso,chiaro,long-term; x', "" la 1° volta dopo tanto tempo si considera l'#Istruzione il cuore dello #sviluppo""]","['giudizio', 'sancire']","tensor([[-1.2034, -1.0038, -0.1917,  0.9780, -0.3427, -0.2889, -0.5670,  1.3676,
         -0.6529,  0.1108, -0.3584, -0.0372, -1.2237,  0.6453, -0.8138, -0.7505,
         -0.2427, -1.4938, -1.5143,  2.8353,  1.4831,  2.9529, -0.9840]])"
26,507093786133274624,1,0,1,1,1,0,2,Per chi ancora non lo sapesse è in onda online il #RenziShow. Il più grande spettacolo mai visto. #passodopopasso #Scuola  #labuonascuola,['Per chi ancora non lo sapesse è in onda online il #RenziShow. Il più grande spettacolo mai visto. #passodopopasso #Scuola  #labuonascuola'],['non risposta'],"tensor([[-1.9268, -0.6610,  1.0311,  0.7592, -0.7107,  0.7904, -0.2572,  1.2656,
         -1.1023,  1.1115,  0.4143, -0.1151, -1.6921,  1.9520, -0.8493, -1.2090,
         -1.1163, -1.6049, -2.3230,  2.8828,  1.9541,  1.4042, -1.0907]])"
27,507093796145070080,1,0,1,1,0,0,2,@matteorenzi unica #labuonascuola  e' scuola della #vanga   solo riutilizzo campi incolti rimedio disoccupazione di massa @MezzadridItalia,"[""@matteorenzi unica #labuonascuola  e' scuola della #vanga   solo riutilizzo campi incolti rimedio disoccupazione di massa @MezzadridItalia""]",['non risposta'],"tensor([[-1.9268, -0.6610,  1.0311,  0.7592, -0.7107,  0.7904, -0.2572,  1.2656,
         -1.1023,  1.1115,  0.4143, -0.1151, -1.6921,  1.9520, -0.8493, -1.2090,
         -1.1163, -1.6049, -2.3230,  2.8828,  1.9541,  1.4042, -1.0907]])"
28,507094060470128640,1,1,0,1,1,0,2,Già avete letto 136 pagine del piano scuola? #Fenomeni #labuonascuola,['Già avete letto 136 pagine del piano scuola? #Fenomeni #labuonascuola'],['commento'],"tensor([[-0.9198, -0.7834,  0.0657,  1.2247, -0.3497, -0.3632, -0.6118,  2.1117,
         -0.2924,  0.2796, -0.5667, -0.1916, -1.2353,  1.1343, -1.5646, -1.0783,
         -0.7299, -1.1523, -1.7300,  2.0984,  0.8691,  3.7473, -1.1935]])"
29,507094892305465345,0,0,0,0,0,0,2,"""Per l'#aternanza #scuola #lavoro bisogna passare da 11a 100milioni di euro"" #labuonascuola http://t.co/zGAzkni8rv","['""Per l\'#aternanza #scuola #lavoro bisogna passare da 11a 100milioni di euro"" #labuonascuola http://t.co/zGAzkni8rv']",['sancire'],"tensor([[-0.8943, -1.0592, -0.1099,  0.8642, -0.6931, -0.0558, -0.0165,  0.9286,
          0.1337,  0.1555, -0.7140, -0.1405, -1.1749,  0.7142, -1.5927, -0.4359,
         -0.0557, -0.9267, -1.1418,  2.8482,  1.2131,  2.8977, -1.4626]])"
30,507096186944487424,0,0,0,0,0,0,2,[4] Scuola fa carriera: qualità valutazione merito [5] La scuola si aggiorna: formazione e innovazione  #12punti de #labuonascuola,['[4] Scuola fa carriera: qualità valutazione merito [5] La scuola si aggiorna: formazione e innovazione  #12punti de #labuonascuola'],['ridimensionamento'],"tensor([[-1.1793, -0.2982, -0.1765,  0.5912, -0.7510, -0.1218, -0.3854,  1.1962,
         -0.4467,  0.0122, -0.4273, -0.2480, -1.0580,  0.6934, -1.2976, -0.6389,
         -0.0951, -1.5466, -1.2170,  3.3577,  1.2990,  2.7926, -1.2039]])"
31,507096690516434944,1,0,0,0,0,0,2,"@matteorenzi per la buona scuola : dire la verità sul passato Italiano, togliere gli insegnanti di parte, premiare chi studia veramente","['@matteorenzi per la buona scuola : dire la verità sul passato Italiano, togliere gli insegnanti di parte, premiare chi studia veramente']",['prescrizione'],"tensor([[-1.2215, -0.4733, -0.0694,  0.3865, -0.6513,  0.4047,  0.1076,  0.7579,
         -0.5173,  0.2877, -0.3335, -0.4898, -1.1337,  0.7084, -1.6759, -0.3342,
         -0.3181, -1.3757, -1.2746,  4.2315,  1.0089,  2.4321, -1.2077]])"
32,507097010034728960,1,0,1,0,0,1,2,Così Renzi si intesta la riforma della scuola. Il video #labuonascuola  http://t.co/WNxsjCF518,['Così Renzi si intesta la riforma della scuola. Il video #labuonascuola  http://t.co/WNxsjCF518'],['non risposta'],"tensor([[-1.9268, -0.6610,  1.0311,  0.7592, -0.7107,  0.7904, -0.2572,  1.2656,
         -1.1023,  1.1115,  0.4143, -0.1151, -1.6921,  1.9520, -0.8493, -1.2090,
         -1.1163, -1.6049, -2.3230,  2.8828,  1.9541,  1.4042, -1.0907]])"
33,507097054628577280,1,0,1,1,0,0,2,#Renzi che parla di potenziare l'inglese. Eee se ci fosse stato lui ai suoi tempi.... #labuonascuola #scish #ginius #scuola,"[""#Renzi che parla di potenziare l'inglese. Eee se ci fosse stato lui ai suoi tempi.... #labuonascuola #scish #ginius #scuola""]",['non risposta'],"tensor([[-1.9268, -0.6610,  1.0311,  0.7592, -0.7107,  0.7904, -0.2572,  1.2656,
         -1.1023,  1.1115,  0.4143, -0.1151, -1.6921,  1.9520, -0.8493, -1.2090,
         -1.1163, -1.6049, -2.3230,  2.8828,  1.9541,  1.4042, -1.0907]])"
34,507097118419341313,0,0,0,0,0,0,2,"#Passodopopasso, ecco #labuonascuola di @MatteoRenzi. ""L'insegnamento dell'inglese come lingua madre"" http://t.co/WuT6QyRSZS","['#Passodopopasso, ecco #labuonascuola di @MatteoRenzi. ""L\'insegnamento dell\'inglese come lingua madre"" http://t.co/WuT6QyRSZS']",['non risposta'],"tensor([[-1.9268, -0.6610,  1.0311,  0.7592, -0.7107,  0.7904, -0.2572,  1.2656,
         -1.1023,  1.1115,  0.4143, -0.1151, -1.6921,  1.9520, -0.8493, -1.2090,
         -1.1163, -1.6049, -2.3230,  2.8828,  1.9541,  1.4042, -1.0907]])"
35,507097476101603330,0,0,0,0,0,0,2,Impegno per l'#adozione. Segnali concreti. Linee Guida #scuola #adozione. #labuonascuola @CoordinamenCARE @MiurSocial,"[""Impegno per l'#adozione. Segnali concreti. Linee Guida #scuola #adozione. #labuonascuola @CoordinamenCARE @MiurSocial""]",['sancire'],"tensor([[-0.8943, -1.0592, -0.1099,  0.8642, -0.6931, -0.0558, -0.0165,  0.9286,
          0.1337,  0.1555, -0.7140, -0.1405, -1.1749,  0.7142, -1.5927, -0.4359,
         -0.0557, -0.9267, -1.1418,  2.8482,  1.2131,  2.8977, -1.4626]])"
36,507097899298484224,1,0,1,0,0,1,2,"#labuonascuola Incompatibilità cumolo impieghi, professori tempo indeterminato con 4-5 lavori e più, pubblica amministrazione Italia 2014!","['#labuonascuola Incompatibilità cumolo impieghi, professori tempo indeterminato con 4-5 lavori e più, pubblica amministrazione Italia 2014!']",['ridimensionamento'],"tensor([[-1.1793, -0.2982, -0.1765,  0.5912, -0.7510, -0.1218, -0.3854,  1.1962,
         -0.4467,  0.0122, -0.4273, -0.2480, -1.0580,  0.6934, -1.2976, -0.6389,
         -0.0951, -1.5466, -1.2170,  3.3577,  1.2990,  2.7926, -1.2039]])"
37,507097922300039168,1,0,1,1,0,1,2,@ArsenaleKappa @fattoquotidiano NO i #Quota96Scuola sono regolarmente a scuola (forse servirà' la badante!!!) #labuonascuola con ins. vecchi,"[""@ArsenaleKappa @fattoquotidiano NO i #Quota96Scuola sono regolarmente a scuola (forse servirà' la badante!!!) #labuonascuola con ins. vecchi""]",['sancire'],"tensor([[-0.8943, -1.0592, -0.1099,  0.8642, -0.6931, -0.0558, -0.0165,  0.9286,
          0.1337,  0.1555, -0.7140, -0.1405, -1.1749,  0.7142, -1.5927, -0.4359,
         -0.0557, -0.9267, -1.1418,  2.8482,  1.2131,  2.8977, -1.4626]])"
38,507098823924006912,1,1,0,1,1,0,2,Studieremo più #lingue e #SHISH sarà solo un ricordo (dei più belli). #labuonascuola http://t.co/ZNAtdciaus #scuola #riformascuola,"['Studieremo più #lingue e #SHISH sarà solo un ricordo (dei più belli).', ' #labuonascuola http://t.co/ZNAtdciaus #scuola #riformascuola']","['previsione', 'ridimensionamento']","tensor([[-0.6433, -0.2511, -0.5025,  1.6342, -0.3852, -0.0309, -1.1368,  1.0850,
         -0.9500, -0.0633, -0.3350,  0.2332, -1.1186,  0.4983, -1.3291, -0.6132,
         -1.1450, -1.3407, -1.7142,  2.7781,  0.7075,  4.1024, -0.9199]])"
39,507098929905664001,0,0,0,0,0,0,2,"EUROPA QUOTIDIANO Scuola, il videomessaggio di Renzi per #labuona scuola»: Con il piano presentato st... http://t.co/Ye9fdgtKGH @weuropa","['EUROPA QUOTIDIANO Scuola, il videomessaggio di Renzi per #labuona scuola»: Con il piano presentato st... http://t.co/Ye9fdgtKGH @weuropa']",['non risposta'],"tensor([[-1.9268, -0.6610,  1.0311,  0.7592, -0.7107,  0.7904, -0.2572,  1.2656,
         -1.1023,  1.1115,  0.4143, -0.1151, -1.6921,  1.9520, -0.8493, -1.2090,
         -1.1163, -1.6049, -2.3230,  2.8828,  1.9541,  1.4042, -1.0907]])"
40,507099255232667648,1,0,1,0,0,1,2,#labuonascuola? Per me quella gratuità per tutte e tutti. Ma per #Renzi non è così e la privatizza #passodopopasso,"['#labuonascuola? Per me quella gratuità per tutte e tutti.', ' Ma per #Renzi non è così e la privatizza #passodopopasso']","['opinione', 'contrapposizione']","tensor([[-1.3260, -0.9399,  0.5354,  1.3852, -0.3277,  0.0617, -0.7614,  0.6514,
         -0.9869,  0.6902,  0.5384, -0.0370, -1.4826,  1.4462, -0.4653, -1.2643,
         -1.0959, -2.0545, -1.6266,  2.5115,  0.9328,  2.8521, -0.9725]])"
41,507099964812832768,0,0,0,0,0,0,2,"Riforma scuola Renzi e precari: capitolo 1 'La buona scuola', 'Assumere tutti i docenti' http://t.co/OCaQbBvIme","[""Riforma scuola Renzi e precari: capitolo 1 'La buona scuola', 'Assumere tutti i docenti' http://t.co/OCaQbBvIme""]",['sancire'],"tensor([[-0.8943, -1.0592, -0.1099,  0.8642, -0.6931, -0.0558, -0.0165,  0.9286,
          0.1337,  0.1555, -0.7140, -0.1405, -1.1749,  0.7142, -1.5927, -0.4359,
         -0.0557, -0.9267, -1.1418,  2.8482,  1.2131,  2.8977, -1.4626]])"
42,507099982198222848,1,0,1,0,0,1,2,@GasperiniLuca @F_Boccia e'  l'espressione della delusione su proclami e parole al vento sulla soluz.  #Quota96Scuola. Non e'#labuonascuola,"[""@GasperiniLuca @F_Boccia e'  l'espressione della delusione su proclami e parole al vento sulla soluz.  #Quota96Scuola. Non e'#labuonascuola""]",['non risposta'],"tensor([[-1.9268, -0.6610,  1.0311,  0.7592, -0.7107,  0.7904, -0.2572,  1.2656,
         -1.1023,  1.1115,  0.4143, -0.1151, -1.6921,  1.9520, -0.8493, -1.2090,
         -1.1163, -1.6049, -2.3230,  2.8828,  1.9541,  1.4042, -1.0907]])"
43,507100541852581888,1,0,1,1,0,0,2,"#Renzi parla di #labuonascuola e afferma ""basta con la SUPPLENTITE"".Dopo l'ANNUNCITE forse #labuonascuola serve più a lui che agli italiani","['#Renzi parla di #labuonascuola e afferma ""basta con la SUPPLENTITE"".', ""Dopo l'ANNUNCITE forse #labuonascuola serve più a lui che agli italiani""]","['sancire', 'commento']","tensor([[-1.1198, -0.9466,  0.2662,  1.2490, -0.4023, -0.0980, -0.5579,  1.5334,
         -0.4615,  0.3648, -0.4114, -0.1389, -1.4552,  1.3434, -1.3026, -0.9103,
         -0.6654, -1.5052, -1.6669,  2.5381,  0.9872,  3.4543, -1.2832]])"
44,507100591957737473,1,0,1,0,0,1,2,sta cosa della buona scuola non mi convince proprio.,['sta cosa della buona scuola non mi convince proprio.'],['opinione'],"tensor([[-1.0046, -1.1265, -0.0648,  0.3651, -0.2644,  0.4968, -0.1840,  0.7680,
         -0.6719,  0.2530, -0.2050, -0.5719, -1.1779,  0.6709, -1.5012,  0.2364,
         -0.9246, -1.6350, -0.8543,  4.2862,  0.4354,  2.4634, -0.7923]])"
