,Unnamed: 0,idtwitter,subj,opos,oneg,iro,lpos,lneg,top,text,Stralci_predetti,Repertori_predetti,Rep Out
10,10,507082319115874304,1,1,0,0,1,0,2,@matteorenzi ha presentato #LaBuonaScuola Ecco i punti del suo Piano http://t.co/ESpXivUmQR @MiurSocial @SteGiannini #passodopopasso,['@matteorenzi ha presentato #LaBuonaScuola Ecco i punti del suo Piano http://t.co/ESpXivUmQR @MiurSocial @SteGiannini #passodopopasso'],['sancire'],"tensor([[-1.5164, -0.8711,  0.7546, -0.6964,  1.0858, -0.7381, -0.0810,  2.5600,
          0.9551,  0.6654, -0.0878, -1.2667, -1.7853,  1.6731, -0.0234, -1.2976,
          0.2419, -1.5330, -0.1220,  2.0739,  2.4307,  0.3923, -0.4540]])"
11,11,507082373750861824,1,0,0,0,0,0,2,".@matteorenzi  la #scuola è quello che resta, il cuore di tutto #labuonascuola @MiurSocial http://t.co/vlXyELm42b","['.@matteorenzi  la #scuola è quello che resta, il cuore di tutto #labuonascuola @MiurSocial http://t.co/vlXyELm42b']",['sancire'],"tensor([[-1.7072, -0.0968,  1.3855, -0.2544,  0.9805, -0.3043,  0.5819,  1.3803,
         -0.6726,  1.4773,  0.4935, -0.4638, -1.8185,  1.4840,  0.2262, -2.0167,
         -0.4145, -1.9279, -1.4169,  2.4214,  2.8373,  0.0546,  0.0339]])"
12,12,507082901813723136,0,0,0,0,0,0,2,#Renzi presenta le linee guida sulla scuola #labuonascuola - http://t.co/SYS1T9QmQN,['#Renzi presenta le linee guida sulla scuola #labuonascuola - http://t.co/SYS1T9QmQN'],['descrizione'],"tensor([[-1.5281, -0.8580,  0.3025, -0.5269,  0.4219, -0.6891, -0.0910,  2.6737,
          1.7972,  0.3891, -0.5571, -0.6846, -1.4098,  1.0876, -0.2622, -1.2872,
          0.2592, -1.2595, -0.0573,  2.0988,  2.3940,  1.1886, -0.6918]])"
13,13,507083585115787264,1,0,1,1,1,0,2,"Ok @matteorenzi  ho capito torno a fare esami per il debito, torno a lavorare che è meglio! #labuonascuola","['Ok @matteorenzi  ho capito torno a fare esami per il debito, torno a lavorare che è meglio! #labuonascuola']",['deresponsabilizzazione'],"tensor([[-1.8192, -1.0083,  2.2576, -1.4769, -0.9866,  0.3026,  2.2487,  0.0364,
          0.7857,  1.1994,  0.3355, -0.3887, -0.5518,  1.8488,  0.9210, -1.5480,
          0.0578, -0.7703, -1.0226, -0.0150,  2.2448, -2.3032, -0.0200]])"
14,14,507084124491104256,1,1,0,0,1,0,2,"#labuonascuola, il documento del #governo #Renzi http://t.co/VzVwN4oRYE #opencamera #opensenato #italiariparte @SteGiannini @cislscuola","['#labuonascuola, il documento del #governo #Renzi http://t.co/VzVwN4oRYE #opencamera #opensenato #italiariparte @SteGiannini @cislscuola']",['ridimensionamento'],"tensor([[-1.7729, -0.5582,  1.5048, -0.5825,  0.2496,  0.2326,  0.9372,  1.4843,
         -0.5571,  1.2985,  0.4544, -0.8695, -1.8165,  1.5449, -0.0398, -1.8523,
          0.0545, -1.7720, -1.0904,  2.7366,  2.6810,  0.7153, -0.4416]])"
15,15,507084285140938752,0,0,0,0,0,0,2,#labuonascuola: ecco il piano di #Renzi - Giornalettismo http://t.co/pzbKLS0Ojn via @giornalettismo,['#labuonascuola: ecco il piano di #Renzi - Giornalettismo http://t.co/pzbKLS0Ojn via @giornalettismo'],['sancire'],"tensor([[-1.7535, -0.8696,  1.3792, -0.6135,  0.1150, -0.1274,  0.2583,  1.8760,
          0.3864,  1.1905,  0.1595, -1.0744, -1.8245,  1.7635,  0.1097, -1.2778,
         -0.0877, -1.3573, -1.0624,  2.3214,  3.0614, -0.1309, -0.4625]])"
16,16,507084562548424704,0,0,0,0,0,0,2,"Ci siamo, #labuonascuola è online. Intanto su http://t.co/mVENbb7ovj o direttamente consultabile su http://t.co/c4LmZw0FiP cc @MiurSocial","['Ci siamo, #labuonascuola è online. Intanto su http://t.co/mVENbb7ovj o direttamente consultabile su http://t.co/c4LmZw0FiP cc @MiurSocial']",['descrizione'],"tensor([[-1.9175, -1.5226,  0.4844,  0.8111,  0.8277, -0.3267, -1.3764,  4.0218,
         -0.1339,  0.4498, -0.2216, -0.4334, -1.6528,  0.8638, -0.6275, -0.7859,
         -0.1023, -1.2715, -0.0737,  0.9558,  1.9204,  1.7276,  0.0520]])"
17,17,507084997728415744,0,0,0,0,0,0,2,"\Nessuno si senta escluso \"" La buona scuola http://t.co/D0sBmjIdiv""","['\\Nessuno si senta escluso \\"" La buona scuola http://t.co/D0sBmjIdiv""']",['sancire'],"tensor([[-2.2230, -0.2132,  1.8672, -0.9094, -0.9540,  0.5067,  1.9664, -0.4341,
         -0.2234,  1.7414,  1.4280, -0.1254, -1.0254,  1.1705,  1.5284, -2.1932,
          0.6465, -0.9817, -1.6783,  0.3789,  3.0360, -1.4912,  0.1913]])"
18,18,507085203131867136,0,0,0,0,0,0,2,È online il rapporto del governo #labuonascuola. Si trova a questo link: http://t.co/aU87jBzO5V. #iopartecipo! #openMiur @MiurSocial,['È online il rapporto del governo #labuonascuola. Si trova a questo link: http://t.co/aU87jBzO5V. #iopartecipo! #openMiur @MiurSocial'],['descrizione'],"tensor([[-1.8816, -1.5300,  0.5168, -0.1235,  1.0156, -0.9147, -0.3652,  3.7456,
          1.7874,  0.5176, -0.5411, -0.8738, -1.4679,  0.9705, -0.0240, -1.2984,
          0.4216, -1.2633, -0.1277,  0.8867,  2.5460,  0.6690, -0.1351]])"
19,19,507087174336905216,1,1,0,0,1,0,2,Oggi tiriamo una linea col passato. Percorso di rinnovamento coinvolgerà tutti. #labuonascuola http://t.co/Hw3wlW6RZZ http://t.co/lzq8G7g8EZ,"['Oggi tiriamo una linea col passato.', ' Percorso di rinnovamento coinvolgerà tutti.', ' #labuonascuola http://t.co/Hw3wlW6RZZ http://t.co/lzq8G7g8EZ']","['dichiarazione di intenti', 'previsione', 'ridimensionamento']","tensor([[ 0.0471, -0.0554,  0.3018, -1.8076, -0.8965, -1.0545,  0.6096, -0.2032,
          3.7633,  0.4031, -0.2502, -1.6042,  0.3475,  0.2800,  0.0348, -1.6177,
          0.8008,  3.0116, -0.0986, -1.1320,  0.7041, -1.3204, -0.3984]])"
20,20,507087791638188032,0,0,0,0,0,0,2,@matteorenzi riforma scuola:ruolo test Invalsi?Perché non rendere obbligatorio pubblicarli?Famiglie devono poter scegliere in modo informato,"['@matteorenzi riforma scuola:ruolo test Invalsi?Perché non rendere obbligatorio pubblicarli?Famiglie', ' devono poter scegliere in modo informato']","['deresponsabilizzazione', 'prescrizione']","tensor([[-1.8264, -1.4198,  1.7153, -1.5961,  1.4443,  1.0420,  2.6907, -0.6349,
          0.1214,  1.3610,  0.4054, -0.9462, -1.6013,  0.3493,  0.3164, -0.5099,
          1.7224, -2.2202,  0.8468,  0.3666,  1.3107, -1.6515,  0.8343]])"
21,21,507088717572767744,0,0,0,0,0,0,2,L'Italia cambierà solo se noi metteremo al centro la scuola #labuonascuola #passodopopasso @matteorenzi @pdnetwork  http://t.co/lfYCl5uKpz,"[""L'Italia cambierà solo se noi metteremo al centro la scuola #labuonascuola #passodopopasso @matteorenzi @pdnetwork  http://t.co/lfYCl5uKpz""]",['previsione'],"tensor([[ 0.8941,  1.9438,  0.7386, -1.3324, -0.7130,  0.2107,  0.7079, -0.6203,
          0.4228,  0.5944, -0.3485, -1.3875,  0.2593,  1.0184, -1.2314, -0.5689,
         -1.7281,  2.5044, -2.0869, -0.0052,  0.8173, -0.5744, -0.8059]])"
22,22,507089154443075584,1,1,1,0,1,1,2,"Le parole giuste ci sono, vedremo la traduzione in fatti.“@matteorenzi: Ecco i nostri 12 punti per #labuonascuola. http://t.co/bPtgWcUWeE”","['Le parole giuste ci sono, vedremo la traduzione in fatti.', '“@matteorenzi: Ecco i nostri 12 punti per #labuonascuola. http://t.co/bPtgWcUWeE”']","['previsione', 'sancire']","tensor([[-0.7316, -0.7459,  1.8456, -1.2790, -1.0533, -0.6826,  0.8951,  0.2865,
          2.2616,  1.0179,  0.1223, -1.4127, -1.4983,  1.6793,  0.2081, -1.5750,
          0.2151,  1.1822, -0.8505,  0.2731,  2.0562, -1.3190, -0.7097]])"
23,23,507089241382588416,0,0,0,0,0,0,2,"Ecco il piano per la scuola: \150mila precari assunti in un solo anno\"" @MiurSocial #labuonascuola http://t.co/sTyABaDyKG""","['Ecco il piano per la scuola: \\150mila precari assunti in un solo anno\\"" @MiurSocial #labuonascuola http://t.co/sTyABaDyKG""']",['sancire'],"tensor([[-1.6520, -0.9271,  1.2955, -0.4205,  0.4123, -0.4686,  0.2145,  2.4344,
          0.0590,  1.5085,  0.2865, -1.0886, -1.6827,  1.5555, -0.1537, -1.3696,
         -0.2594, -1.4412, -0.9310,  2.0770,  2.9639, -0.1117, -0.0929]])"
24,24,507091579228930048,0,0,0,0,0,0,2,#labuonascuola Come un docente potrà dimostrare quanto vale? @MiurSocial http://t.co/sTyABaDyKG http://t.co/EQ2iCHrcbk,['#labuonascuola Come un docente potrà dimostrare quanto vale? @MiurSocial http://t.co/sTyABaDyKG http://t.co/EQ2iCHrcbk'],['possibilità'],"tensor([[-0.0841, -0.0604,  0.7809, -0.7698,  2.1653, -0.2842,  0.5740,  0.4385,
         -0.4540,  0.6054, -0.7653, -1.6100, -0.7669,  0.3735, -1.1066,  2.0642,
         -1.5947, -0.9899, -0.5379,  0.8873,  0.5345, -0.1668,  0.0778]])"
25,25,507093537608175616,1,1,0,0,1,0,2,"#labuonascuola è un progetto ambizioso,chiaro,long-term; x la 1° volta dopo tanto tempo si considera l'#Istruzione il cuore dello #sviluppo","['#labuonascuola è un progetto ambizioso,chiaro,long-term; x', "" la 1° volta dopo tanto tempo si considera l'#Istruzione il cuore dello #sviluppo""]","['giudizio', 'conferma']","tensor([[-1.8961, -1.1584,  0.7830,  0.1831,  1.7528, -0.9996, -0.4635,  1.2108,
         -0.1276,  0.4089,  2.2804, -0.6874, -1.3324,  1.3137,  2.0727, -1.4381,
         -0.9290, -2.0329, -0.2609, -0.5465,  1.8889, -1.2762,  1.9210]])"
26,26,507093786133274624,1,0,1,1,1,0,2,Per chi ancora non lo sapesse è in onda online il #RenziShow. Il più grande spettacolo mai visto. #passodopopasso #Scuola  #labuonascuola,['Per chi ancora non lo sapesse è in onda online il #RenziShow. Il più grande spettacolo mai visto. #passodopopasso #Scuola  #labuonascuola'],['non risposta'],"tensor([[-2.0478, -1.4947,  2.6380,  0.1903, -0.0050, -0.1787, -0.3503,  1.4676,
         -0.3706,  1.3470,  1.6415, -0.8339, -1.6961,  3.0997,  0.4583, -1.5491,
         -1.4032, -2.0363, -0.8000,  0.9093,  1.4955,  0.6873, -0.0338]])"
27,27,507093796145070080,1,0,1,1,0,0,2,@matteorenzi unica #labuonascuola  e' scuola della #vanga   solo riutilizzo campi incolti rimedio disoccupazione di massa @MezzadridItalia,"[""@matteorenzi unica #labuonascuola  e' scuola della #vanga   solo riutilizzo campi incolti rimedio disoccupazione di massa @MezzadridItalia""]",['non risposta'],"tensor([[-2.1040,  0.2118,  2.3616, -0.7727,  0.0505,  0.7116,  1.5139, -0.0404,
         -1.0966,  1.9149,  2.2468, -0.5040, -1.8927,  2.7132,  0.2725, -2.2994,
         -0.6115, -1.6882, -1.3298,  0.3395,  2.2692, -1.0605, -0.2650]])"
28,28,507094060470128640,1,1,0,1,1,0,2,Già avete letto 136 pagine del piano scuola? #Fenomeni #labuonascuola,['Già avete letto 136 pagine del piano scuola? #Fenomeni #labuonascuola'],['commento'],"tensor([[-2.0410, -0.9988,  2.8881,  0.3651, -0.0401,  0.7934, -0.0918,  0.4663,
         -1.5603,  1.7097,  2.5847, -0.7658, -1.8422,  2.2095,  0.7298, -0.9893,
         -2.0171, -2.2890, -1.7314,  0.7734,  1.6354, -0.5300,  0.5025]])"
29,29,507094892305465345,0,0,0,0,0,0,2,"\Per l'#aternanza #scuola #lavoro bisogna passare da 11a 100milioni di euro\"" #labuonascuola http://t.co/zGAzkni8rv""","['\\Per l\'#aternanza #scuola #lavoro bisogna passare da 11a 100milioni di euro\\"" #labuonascuola http://t.co/zGAzkni8rv""']",['sancire'],"tensor([[-1.9357, -1.3927,  0.8027, -0.8192,  0.6518, -0.4895,  0.8063,  0.5713,
          0.9247,  1.1948, -0.0719, -0.7938, -2.0647,  0.4404,  1.0560, -1.3923,
          2.3253, -1.6620,  0.2131,  1.0087,  2.7556, -1.0763,  0.5693]])"
30,30,507096186944487424,0,0,0,0,0,0,2,[4] Scuola fa carriera: qualità valutazione merito [5] La scuola si aggiorna: formazione e innovazione  #12punti de #labuonascuola,['[4] Scuola fa carriera: qualità valutazione merito [5] La scuola si aggiorna: formazione e innovazione  #12punti de #labuonascuola'],['sancire'],"tensor([[-2.2625, -0.8622,  0.6818,  0.4405,  1.5132, -0.4485, -0.7882,  2.6943,
         -0.5366,  1.1132,  0.3684, -0.0596, -1.8386,  1.3419,  0.2739, -1.8253,
         -0.0959, -2.1694, -0.6656,  0.7311,  2.6289,  0.5289,  0.4674]])"
31,31,507096690516434944,1,0,0,0,0,0,2,"@matteorenzi per la buona scuola : dire la verità sul passato Italiano, togliere gli insegnanti di parte, premiare chi studia veramente","['@matteorenzi per la buona scuola : dire la verità sul passato Italiano, togliere gli insegnanti di parte, premiare chi studia veramente']",['deresponsabilizzazione'],"tensor([[-1.9476, -0.3514,  1.7140, -1.7298, -0.4998,  0.4754,  2.5896, -1.0120,
          0.1213,  1.4066,  0.5138, -0.6181, -1.7260,  1.6337, -0.2169, -1.1191,
          2.2948, -1.6421,  1.3025,  0.8437,  1.6860, -0.6101, -0.4687]])"
32,32,507097010034728960,1,0,1,0,0,1,2,Così Renzi si intesta la riforma della scuola. Il video #labuonascuola  http://t.co/WNxsjCF518,['Così Renzi si intesta la riforma della scuola. Il video #labuonascuola  http://t.co/WNxsjCF518'],['sancire'],"tensor([[-1.9427,  0.6745,  1.4390,  0.2959, -0.4359,  0.6922,  0.8090,  0.9480,
         -0.8139,  0.7484,  0.0292,  0.4002, -0.6529,  1.5793, -0.6559, -1.8358,
         -1.3040, -1.5888, -1.6158,  1.4383,  2.3386,  1.1523, -0.3472]])"
33,33,507097054628577280,1,0,1,1,0,0,2,#Renzi che parla di potenziare l'inglese. Eee se ci fosse stato lui ai suoi tempi. #labuonascuola #scish #ginius #scuola,"[""#Renzi che parla di potenziare l'inglese. Eee se ci fosse stato lui ai suoi tempi. #labuonascuola #scish #ginius #scuola""]",['commento'],"tensor([[-2.2928, -0.5483,  1.7813,  0.2950,  0.2472,  0.5344, -0.2701,  0.9744,
         -1.0451,  1.0839,  1.0481, -0.0178, -1.8688,  1.7050, -0.1167, -1.5983,
         -1.0935, -2.4332, -0.9730,  1.8007,  1.8711,  1.7277,  0.1138]])"
34,34,507097118419341313,0,0,0,0,0,0,2,"#Passodopopasso, ecco #labuonascuola di @MatteoRenzi. \L'insegnamento dell'inglese come lingua madre\"" http://t.co/WuT6QyRSZS""","['#Passodopopasso, ecco #labuonascuola di @MatteoRenzi. \\L\'insegnamento dell\'inglese come lingua madre\\"" http://t.co/WuT6QyRSZS""']",['ridimensionamento'],"tensor([[-1.4425, -0.7054,  1.3634, -0.2222,  0.6911, -0.5069, -0.3249,  2.2540,
          0.0325,  0.7893,  0.0455, -1.0860, -1.9466,  1.9022, -0.3959, -0.9025,
         -0.4811, -1.7230, -0.3124,  2.4415,  1.8876,  1.6704, -0.6637]])"
35,35,507097476101603330,0,0,0,0,0,0,2,Impegno per l'#adozione. Segnali concreti. Linee Guida #scuola #adozione. #labuonascuola @CoordinamenCARE @MiurSocial,"[""Impegno per l'#adozione. Segnali concreti. Linee Guida #scuola #adozione. #labuonascuola @CoordinamenCARE @MiurSocial""]",['sancire'],"tensor([[-1.7874, -1.3964,  0.3279, -0.9014,  0.8056, -0.8570,  0.4904,  1.4668,
          1.5366,  0.9235,  0.6348, -1.1905, -2.0672,  0.4190,  0.8203, -1.3421,
          1.8942, -1.5860,  0.6365,  1.1979,  2.3392, -0.9419,  0.4255]])"
36,36,507097899298484224,1,0,1,0,0,1,2,"#labuonascuola Incompatibilità cumolo impieghi, professori tempo indeterminato con 4-5 lavori e più, pubblica amministrazione Italia 2014!","['#labuonascuola Incompatibilità cumolo impieghi, professori tempo indeterminato con 4-5 lavori e più, pubblica amministrazione Italia 2014!']",['sancire'],"tensor([[-2.2620, -0.4421,  1.2409, -0.6449,  0.2382,  0.3347,  0.8009,  0.8386,
         -1.1207,  1.7172,  1.3549, -0.4435, -1.7611,  1.5253,  0.3510, -2.1458,
          0.8993, -1.6754, -0.9056,  1.4573,  2.8466, -0.2300, -0.0765]])"
37,37,507097922300039168,1,0,1,1,0,1,2,@ArsenaleKappa @fattoquotidiano NO i #Quota96Scuola sono regolarmente a scuola (forse servirà' la badante!) #labuonascuola con ins. vecchi,"[""@ArsenaleKappa @fattoquotidiano NO i #Quota96Scuola sono regolarmente a scuola (forse servirà' la badante!) #labuonascuola con ins. vecchi""]",['sancire'],"tensor([[-2.1817, -0.8930,  1.6619, -1.0793,  0.2445,  0.9444,  1.0860,  0.9767,
         -0.7717,  1.3701,  0.7151, -0.8529, -1.7156,  1.3501,  0.2866, -1.1829,
         -0.1334, -1.7861, -0.9645,  2.1870,  2.8060, -0.9815,  0.3721]])"
38,38,507098823924006912,1,1,0,1,1,0,2,Studieremo più #lingue e #SHISH sarà solo un ricordo (dei più belli). #labuonascuola http://t.co/ZNAtdciaus #scuola #riformascuola,"['Studieremo più #lingue e #SHISH sarà solo un ricordo (dei più belli).', ' #labuonascuola http://t.co/ZNAtdciaus #scuola #riformascuola']","['previsione', 'ridimensionamento']","tensor([[-4.0462e-01, -1.2008e-03,  1.0914e+00, -1.4393e+00, -1.4868e+00,
         -1.0778e+00,  1.3858e-01, -2.0178e-01,  2.0796e+00,  5.8608e-01,
          7.6977e-01, -1.7169e+00, -5.6881e-01,  1.0274e+00,  3.6675e-01,
         -1.6996e+00,  2.5352e-01,  2.9715e+00, -3.6385e-01, -7.2846e-01,
          1.1590e+00, -8.6271e-01, -4.0824e-01]])"
39,39,507098929905664001,0,0,0,0,0,0,2,"EUROPA QUOTIDIANO Scuola, il videomessaggio di Renzi per #labuona scuola»: Con il piano presentato st. http://t.co/Ye9fdgtKGH @weuropa","['EUROPA QUOTIDIANO Scuola, il videomessaggio di Renzi per #labuona scuola»: Con il piano presentato st. http://t.co/Ye9fdgtKGH @weuropa']",['ridimensionamento'],"tensor([[-1.5494e+00, -8.3047e-01,  1.4028e+00, -2.4225e-01, -7.0690e-02,
         -1.6621e-01,  9.9394e-04,  2.2360e+00,  2.1951e-01,  1.0899e+00,
         -1.6619e-01, -6.8483e-01, -2.0509e+00,  2.0465e+00, -3.6674e-01,
         -1.4318e+00, -3.6261e-01, -1.3665e+00, -8.1808e-01,  2.7837e+00,
          2.3565e+00,  1.1672e+00, -7.7313e-01]])"
40,40,507099255232667648,1,0,1,0,0,1,2,#labuonascuola? Per me quella gratuità per tutte e tutti. Ma per #Renzi non è così e la privatizza #passodopopasso,"['#labuonascuola? Per me quella gratuità per tutte e tutti.', ' Ma per #Renzi non è così e la privatizza #passodopopasso']","['opinione', 'contrapposizione']","tensor([[-1.6667, -0.1636,  1.0595,  0.4049,  1.0367,  1.8172, -0.0642, -0.4409,
         -1.1898,  0.5233,  0.7446,  0.3993, -1.0179,  0.9290,  1.9371, -1.5495,
         -1.9337, -2.3303, -1.6346,  0.9978,  1.5527, -1.0646,  1.2756]])"
41,41,507099964812832768,0,0,0,0,0,0,2,"Riforma scuola Renzi e precari: capitolo 1 'La buona scuola', 'Assumere tutti i docenti' http://t.co/OCaQbBvIme","[""Riforma scuola Renzi e precari: capitolo 1 'La buona scuola', 'Assumere tutti i docenti' http://t.co/OCaQbBvIme""]",['sancire'],"tensor([[-1.6131, -0.3604,  1.8908, -0.7258, -0.2628,  0.3866,  0.5434,  1.0271,
         -0.8510,  1.7010,  1.1047, -0.6027, -2.1396,  2.3583,  0.0363, -1.4866,
         -0.6500, -1.3412, -1.5806,  2.2428,  2.7979,  0.1057, -0.6333]])"
42,42,507099982198222848,1,0,1,0,0,1,2,@GasperiniLuca @F_Boccia e'  l'espressione della delusione su proclami e parole al vento sulla soluz.  #Quota96Scuola. Non e'#labuonascuola,"[""@GasperiniLuca @F_Boccia e'  l'espressione della delusione su proclami e parole al vento sulla soluz.  #Quota96Scuola. Non e'#labuonascuola""]",['non risposta'],"tensor([[-1.7900, -0.7044,  2.4257, -0.1841,  0.4950,  0.3401, -0.0064,  0.5468,
         -1.2369,  1.4259,  2.4435, -0.4622, -2.1306,  2.9521,  1.0509, -2.1464,
         -1.2906, -2.0859, -1.6294,  0.5838,  1.7514, -0.7471,  0.1978]])"
43,43,507100541852581888,1,0,1,1,0,0,2,"#Renzi parla di #labuonascuola e afferma \basta con la SUPPLENTITE\"".Dopo l'ANNUNCITE forse #labuonascuola serve più a lui che agli italiani""","['#Renzi parla di #labuonascuola e afferma \\basta con la SUPPLENTITE\\"".', 'Dopo l\'ANNUNCITE forse #labuonascuola serve più a lui che agli italiani""']","['sancire', 'possibilità']","tensor([[-2.1921, -0.7164,  1.9364, -0.5967,  0.7426,  0.6432,  1.1516,  0.2562,
         -0.3632,  1.6771,  1.3793, -0.7742, -1.8811,  1.5826,  1.0173, -2.4454,
         -0.1655, -2.1511, -1.3711,  1.2668,  2.6028, -1.4763,  0.8077]])"
